TOP.5bbb65a5.000c1fd9	START
TOP.5bbb6a94.0003b1c1	user_options->optimized_kernel_enable	1
TOP.5bbb6a94.0003b1c1	user_options->outfile_autohex	1
TOP.5bbb6a94.0003b1c1	user_options->outfile_check_timer	5
TOP.5bbb6a94.0003b1c1	user_options->outfile_format	3
TOP.5bbb6a94.0003b1c1	user_options->wordlist_autohex_disable	0
TOP.5bbb6a94.0003b1c1	user_options->potfile_disable	0
TOP.5bbb6a94.0003b1c1	user_options->progress_only	0
TOP.5bbb6a94.0003b1c1	user_options->quiet	0
TOP.5bbb6a94.0003b1c1	user_options->remove	0
TOP.5bbb6a94.0003b1c1	user_options->remove_timer	60
TOP.5bbb6a94.0003b1c1	user_options->restore	0
TOP.5bbb6a94.0003b1c1	user_options->restore_disable	0
TOP.5bbb6a94.0003b1c1	user_options->restore_timer	60
TOP.5bbb6a94.0003b1c1	user_options->rp_files_cnt	0
TOP.5bbb6a94.0003b1c1	user_options->rp_gen	0
TOP.5bbb6a94.0003b1c1	user_options->rp_gen_func_max	4
TOP.5bbb6a94.0003b1c1	user_options->rp_gen_func_min	1
TOP.5bbb6a94.0003b1c1	user_options->rp_gen_seed	0
TOP.5bbb6a94.0003b1c1	user_options->runtime	0
TOP.5bbb6a94.0003b1c1	user_options->scrypt_tmto	0
TOP.5bbb6a94.0003b1c1	user_options->segment_size	33554432
TOP.5bbb6a94.0003b1c1	user_options->self_test_disable	0
TOP.5bbb6a94.0003b1c1	user_options->show	0
TOP.5bbb6a94.0003b1c1	user_options->speed_only	0
TOP.5bbb6a94.0003b1c1	user_options->status	0
TOP.5bbb6a94.0003b1c1	user_options->status_timer	10
TOP.5bbb6a94.0003b1c1	user_options->stdout_flag	0
TOP.5bbb6a94.0003b1c1	user_options->usage	0
TOP.5bbb6a94.0003b1c1	user_options->username	0
TOP.5bbb6a94.0003b1c1	user_options->veracrypt_pim	0
TOP.5bbb6a94.0003b1c1	user_options->version	0
TOP.5bbb6a94.0003b1c1	user_options->workload_profile	2
TOP.5bbb6a94.0003b1c1	hashes->hashfile	..\..\..\target\raw\hashes-only.txt
TOP.5bbb6a94.0003b1c1	hashes->hashlist_mode	4
TOP.5bbb6a94.0003b1c1	hashes->hashlist_format	0
TOP.5bbb6a94.0003b1c1	hashes->hashes_cnt	0
TOP.5bbb6a94.0003b1c1	hashes->digests_cnt	196
TOP.5bbb6a94.0003b1c1	hashes->digests_done	0
TOP.5bbb6a94.0003b1c1	hashes->salts_cnt	196
TOP.5bbb6a94.0003b1c1	hashes->salts_done	0
TOP.5bbb6a94.0003b1c1	SUB.5bbb6a99.0005fd13	START
TOP.5bbb6a94.0003b1c1	SUB.5bbb6a99.0005fd13	straight_ctx->dict	..\..\..\password-lists\human.dict
TOP.5bbb6a94.0003b1c1	SUB.5bbb6a99.0005fd13	runtime_start	1539009188
TOP.5bbb6a94.0003b1c1	SUB.5bbb6a99.0005fd13	runtime_stop	1539011379
TOP.5bbb6a94.0003b1c1	SUB.5bbb6a99.0005fd13	status-after-work	8
TOP.5bbb6a94.0003b1c1	SUB.5bbb6a99.0005fd13	STOP
TOP.5bbb6a94.0003b1c1	proc_start	1539009172
TOP.5bbb6a94.0003b1c1	proc_stop	1539011380
TOP.5bbb6a94.0003b1c1	STOP
